D10A_data-2006-03-26-0836.txt

d10a.D10A Time	Hr	Mn	Sec	fractions of sec	Pitch	Bank	Heading	IAS	Baro Altitude	Yaw rate	Ny	Nz
(seconds)	(Hr)	(Mn)	(Sec)	(1/64 sec)	(deg)	(deg)	(deg mag)	(KIAS)	(ft)	(deg/s)	(g)	(g)
1143380508.0	13	46	53	25	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380509.0	13	46	54	25	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380510.0	13	46	55	25	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380511.0	13	46	56	25	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380512.0	13	46	57	25	9.6	0.8	303	0.0	-291.99476	+003	0.02	1.0
1143380513.0	13	46	58	25	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380514.0	13	46	59	25	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380515.0	13	47	00	25	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380516.0	13	47	01	25	9.5	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380517.0	13	47	02	25	9.5	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380518.0	13	47	03	25	9.6	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380519.0	13	47	04	25	9.5	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380520.0	13	47	05	25	9.5	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380521.0	13	47	06	25	9.5	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380522.0	13	47	07	25	9.5	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380523.0	13	47	08	25	9.4	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380524.0	13	47	09	25	9.5	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380525.0	13	47	10	25	9.4	0.7	304	0.0	-291.99476	+003	0.01	1.0
1143380526.0	13	47	11	25	9.4	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380527.0	13	47	12	25	9.5	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380528.0	13	47	13	25	9.4	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380529.0	13	47	14	25	9.4	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380530.0	13	47	15	25	9.4	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380531.0	13	47	16	25	9.5	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380532.0	13	47	17	25	9.4	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380533.0	13	47	18	25	9.4	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380534.0	13	47	19	25	9.4	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380535.0	13	47	20	22	9.4	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380536.04	13	47	21	02	9.4	0.7	304	0.0	-291.99476	+003	0.01	1.0
1143380537.0	13	47	22	25	9.4	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380538.04	13	47	23	09	9.4	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380539.02	13	47	24	26	9.4	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380540.02	13	47	25	26	9.4	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380541.0	13	47	26	25	9.4	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380542.0	13	47	27	25	9.4	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380543.0	13	47	28	25	9.4	0.7	304	0.0	-291.99476	+004	0.01	1.0
1143380544.0	13	47	29	25	9.4	0.7	304	0.0	-291.99476	+003	0.01	1.0
1143380545.0	13	47	30	25	9.4	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380546.0	13	47	31	25	9.4	0.6	303	0.0	-291.99476	+003	0.01	1.0
1143380547.0	13	47	32	25	9.3	0.6	304	0.0	-291.99476	+004	0.01	1.0
1143380548.02	13	47	33	26	9.3	0.6	304	0.0	-291.99476	+004	0.01	1.0
1143380549.02	13	47	34	26	9.3	0.6	304	0.0	-291.99476	+004	0.01	1.0
1143380550.0	13	47	35	25	9.3	0.6	304	0.0	-291.99476	+004	0.01	1.0
1143380551.0	13	47	36	25	9.3	0.6	304	0.0	-291.99476	+004	0.01	1.0
1143380552.0	13	47	37	25	9.3	0.6	303	0.0	-291.99476	+003	0.01	1.0
1143380553.02	13	47	38	26	9.3	0.6	303	0.0	-291.99476	+003	0.01	1.0
1143380554.02	13	47	39	26	9.3	0.6	304	0.0	-291.99476	+004	0.01	1.0
1143380555.02	13	47	40	26	9.3	0.6	304	0.0	-291.99476	+004	0.01	1.0
1143380556.0	13	47	41	25	9.3	0.6	303	0.0	-291.99476	+004	0.01	1.0
1143380557.07	13	47	42	26	9.3	0.6	303	0.0	-291.99476	+004	0.01	1.0
1143380558.03	13	47	43	06	9.3	0.6	303	0.0	-291.99476	+003	0.01	1.0
1143380559.02	13	47	44	26	9.3	0.6	303	0.0	-291.99476	+003	0.01	1.0
1143380560.02	13	47	45	26	9.4	0.6	303	0.0	-291.99476	+003	0.01	1.0
1143380561.0	13	47	46	25	9.4	0.6	303	0.0	-291.99476	+003	0.01	1.0
1143380562.02	13	47	47	26	9.4	0.6	303	0.0	-291.99476	+003	0.01	1.0
1143380563.01	13	47	48	26	9.4	0.6	303	0.0	-291.99476	+003	0.01	1.0
1143380564.01	13	47	49	26	9.4	0.6	304	0.0	-291.99476	+004	0.01	1.0
1143380565.01	13	47	50	26	9.4	0.6	304	0.0	-291.99476	+004	0.01	1.0
1143380566.0	13	47	51	25	9.4	0.6	304	0.0	-291.99476	+003	0.01	1.0
1143380567.01	13	47	52	26	9.4	0.6	304	0.0	-291.99476	+003	0.01	1.0
1143380568.01	13	47	53	26	9.4	0.6	304	0.0	-291.99476	+003	0.01	1.0
1143380569.01	13	47	54	26	9.4	0.6	304	0.0	-291.99476	+003	0.01	1.0
1143380570.01	13	47	55	26	9.4	0.5	303	0.0	-291.99476	+003	0.01	1.0
1143380571.02	13	47	56	26	9.4	0.5	303	0.0	-291.99476	+003	0.01	1.0
1143380572.02	13	47	57	26	9.4	0.5	303	0.0	-291.99476	+003	0.01	1.0
1143380573.01	13	47	58	26	9.4	0.5	303	0.0	-291.99476	+003	0.01	1.0
