GNS430_data-2006-03-26-0836.txt

gns430.GNS430 Time	Grd Speed	Track	GPS Altitude	Latitude	Longitude	Desired Track	Cross Track Error	Active Waypoint	Distance to Waypoint	Bearing to Waypoint	Magnetic Variation
(seconds)	(kt)	(deg mag)	(ft)	(deg N)	(deg W)	(deg mag)	(nm R)	()	(nm)	(deg mag)	(deg E)
1143380519.76	000	014	00374	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380520.76	000	014	00375	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380521.76	000	014	00377	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380522.76	000	014	00378	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380523.76	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380524.77	000	014	00380	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380525.77	000	014	00380	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380526.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380527.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380528.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380529.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380530.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380531.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380532.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380533.77	000	014	00379	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380534.78	000	014	00378	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380535.89	000	014	00378	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380536.78	000	014	00377	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380537.81	000	014	00376	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380538.81	000	014	00376	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380539.78	000	014	00375	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380540.78	000	014	00374	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380541.78	000	014	00373	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380542.78	000	014	00373	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380543.78	000	014	00371	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380544.78	000	014	00371	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380545.79	000	014	00370	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380546.79	000	014	00369	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380547.79	000	014	00369	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380548.79	000	014	00367	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380549.79	000	014	00367	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380550.79	000	014	00367	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380551.79	000	014	00367	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380552.79	000	014	00367	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380553.79	000	014	00367	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380554.79	000	014	00368	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380555.8	000	014	00367	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380556.8	000	014	00366	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380557.9	000	014	00366	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380558.8	000	014	00365	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380559.8	000	014	00366	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380560.8	000	014	00366	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380561.8	000	014	00367	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380562.8	000	014	00367	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380563.8	000	014	00368	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380564.81	000	014	00371	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380565.81	000	014	00371	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380566.81	000	014	00372	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380567.81	000	014	00372	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380568.81	000	014	00371	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380569.81	000	014	00370	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380570.81	000	014	00369	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380571.81	000	014	00369	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380572.81	000	014	00367	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380573.81	000	014	00367	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380574.82	000	014	00365	45.2528333333	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380584.55	150	135	03500	39.0675	94.8976666667	149.5	2.5	GARMN	10.0	135.0	0.0
1143380609.61			-----								-14.1
1143380610.62			-----								-14.1
1143380611.63			-----								-14.1
1143380612.65			-----								-14.1
1143380613.63			-----								-14.1
1143380614.63			-----								-14.1
1143380615.63			-----								-14.1
1143380616.63			-----								-14.1
1143380617.65			-----								-14.1
1143380618.63			-----								-14.1
1143380619.64			-----								-14.1
1143380620.64			-----								-14.1
1143380621.64			-----								-14.1
1143380622.65			-----								-14.1
1143380623.64			-----								-14.1
1143380624.64			-----								-14.1
1143380625.64			-----								-14.1
1143380626.64			-----								-14.1
1143380627.65			-----								-14.1
1143380628.63	000	014	00386	45.253	75.582						-14.1
1143380629.64	000	014	00421	45.253	75.5821666667						-14.1
1143380630.64	000	014	00433	45.253	75.5821666667						-14.1
1143380631.64	000	014	00436	45.253	75.5821666667						-14.1
1143380632.65	000	014	00439	45.253	75.5821666667						-14.1
1143380633.64	000	014	00444	45.253	75.5821666667						-14.1
1143380634.64	000	014	00445	45.253	75.5821666667						-14.1
1143380635.64	000	014	00445	45.253	75.5821666667						-14.1
1143380636.64	000	014	00442	45.253	75.5821666667						-14.1
1143380637.64	000	014	00440	45.253	75.5821666667						-14.1
1143380638.64	000	014	00438	45.253	75.5821666667						-14.1
1143380639.64	000	014	00435	45.253	75.5821666667						-14.1
